Number_of_nodes:
5
Head	Tail	Capacity	Length	Speed	FFS	Cost Prob
2	1	-1	-1	-1	-1	10	0.1
2	1	-1	-1	-1	-1	4	0.2
2   1   -1  -1  -1  -1  5   0.1
2   1   -1  -1  -1  -1  6   0.3
2   1   -1  -1  -1  -1  3   0.2
3	1	-1	-1	-1	-1	3	0.2
3	1	-1	-1	-1	-1	5	0.3
3	1	-1	-1	-1	-1	7   0.5
3	2	-1	-1	-1	-1	5	0.2
3	2	-1	-1	-1	-1	4	0.4
3	2	-1	-1	-1	-1	6	0.3
3	2	-1	-1	-1	-1	11  0.1
4	2	-1	-1	-1	-1	4	0.2
4	2	-1	-1	-1	-1	3	0.4
4	2	-1	-1	-1	-1	8	0.4
4	3	-1	-1	-1	-1	4	0.2
4	3	-1	-1	-1	-1	5	0.2
4	3	-1	-1	-1	-1	6	0.3
4	3	-1	-1	-1	-1	8	0.3
5	4	-1	-1	-1	-1	7	0.5
5	4	-1	-1	-1	-1	9	0.5
